image_url,image_path,basename,dino_detected,dino_score,sam_score,passed_thresholds,uploaded_to_s3,box_area_pct
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.15.19.29_-6.599548417143524_35.815487522631884_15318518-10c3-4825-9c5a-8bb145d5b0f9_IMG_20221209_113628_1111405300856351191.jpg,temp_downloads/2022.12.09.15.19.29_-6.599548417143524_35.815487522631884_15318518-10c3-4825-9c5a-8bb145d5b0f9_IMG_20221209_113628_1111405300856351191.jpg,2022.12.09.15.19.29_-6.599548417143524_35.815487522631884_15318518-10c3-4825-9c5a-8bb145d5b0f9_IMG_20221209_113628_1111405300856351191.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.15.52.15_-6.605365625582635_35.833634762093425_1c6538bf-0668-40dc-8987-6e9b32099bb6_IMG_20221209_113657_1331952320771914220.jpg,temp_downloads/2022.12.09.15.52.15_-6.605365625582635_35.833634762093425_1c6538bf-0668-40dc-8987-6e9b32099bb6_IMG_20221209_113657_1331952320771914220.jpg,2022.12.09.15.52.15_-6.605365625582635_35.833634762093425_1c6538bf-0668-40dc-8987-6e9b32099bb6_IMG_20221209_113657_1331952320771914220.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.17.33.15_-4.732356338761747_35.80692938156426_02dddff0-e955-472b-8db0-16e175f25542_IMG_20221209_113646_420994369968413697.jpg,temp_downloads/2022.12.09.17.33.15_-4.732356338761747_35.80692938156426_02dddff0-e955-472b-8db0-16e175f25542_IMG_20221209_113646_420994369968413697.jpg,2022.12.09.17.33.15_-4.732356338761747_35.80692938156426_02dddff0-e955-472b-8db0-16e175f25542_IMG_20221209_113646_420994369968413697.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.17.01.59_-4.735467382706702_35.798510648310184_93541632-dc10-4628-9a16-83137726bab4_IMG_20221209_113702_9196238430005314454.jpg,temp_downloads/2022.12.09.17.01.59_-4.735467382706702_35.798510648310184_93541632-dc10-4628-9a16-83137726bab4_IMG_20221209_113702_9196238430005314454.jpg,2022.12.09.17.01.59_-4.735467382706702_35.798510648310184_93541632-dc10-4628-9a16-83137726bab4_IMG_20221209_113702_9196238430005314454.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.16.58.44_-4.7384152142331_35.80479271709919_ad7c7f11-9bce-45c8-910a-e41fae56d6fc_IMG_20221209_113703_9076759111364913344.jpg,temp_downloads/2022.12.09.16.58.44_-4.7384152142331_35.80479271709919_ad7c7f11-9bce-45c8-910a-e41fae56d6fc_IMG_20221209_113703_9076759111364913344.jpg,2022.12.09.16.58.44_-4.7384152142331_35.80479271709919_ad7c7f11-9bce-45c8-910a-e41fae56d6fc_IMG_20221209_113703_9076759111364913344.jpg,True,0.6457970142364502,0.9164845943450928,True,True,0.06648873095400631
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.16.48.00_-6.600611703470349_35.81613210774958_9785cb0a-8e5a-412d-bc6d-701588b5cbbd_IMG_20221209_113650_2942589224112372215.jpg,temp_downloads/2022.12.09.16.48.00_-6.600611703470349_35.81613210774958_9785cb0a-8e5a-412d-bc6d-701588b5cbbd_IMG_20221209_113650_2942589224112372215.jpg,2022.12.09.16.48.00_-6.600611703470349_35.81613210774958_9785cb0a-8e5a-412d-bc6d-701588b5cbbd_IMG_20221209_113650_2942589224112372215.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.16.36.27_-6.592248743399978_35.82311195321381_90349d29-010c-4185-a821-34012086d0cb_IMG_20221209_113702_3657683053792337861.jpg,temp_downloads/2022.12.09.16.36.27_-6.592248743399978_35.82311195321381_90349d29-010c-4185-a821-34012086d0cb_IMG_20221209_113702_3657683053792337861.jpg,2022.12.09.16.36.27_-6.592248743399978_35.82311195321381_90349d29-010c-4185-a821-34012086d0cb_IMG_20221209_113702_3657683053792337861.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.15.53.08_8.478192838239673_-13.225635395777271_718151e1-660c-4c9e-a132-17aea35846cd_IMG_20221209_083657_744992300273946017.jpg,temp_downloads/2022.12.09.15.53.08_8.478192838239673_-13.225635395777271_718151e1-660c-4c9e-a132-17aea35846cd_IMG_20221209_083657_744992300273946017.jpg,2022.12.09.15.53.08_8.478192838239673_-13.225635395777271_718151e1-660c-4c9e-a132-17aea35846cd_IMG_20221209_083657_744992300273946017.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2022.12.09.17.02.20_-4.735077473334968_35.798656929284334_e26eb5b5-16b4-4908-8295-e9b0a4a78bf0_IMG_20221209_113653_6357144300781302109.jpg,temp_downloads/2022.12.09.17.02.20_-4.735077473334968_35.798656929284334_e26eb5b5-16b4-4908-8295-e9b0a4a78bf0_IMG_20221209_113653_6357144300781302109.jpg,2022.12.09.17.02.20_-4.735077473334968_35.798656929284334_e26eb5b5-16b4-4908-8295-e9b0a4a78bf0_IMG_20221209_113653_6357144300781302109.jpg,False,,,False,False,
https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2021.09.17.20.40.25_-4.789777333333332_38.26819433333333_41378e8f-462c-4eef-805e-93635614b02c_IMG_20210916_135906_3095855495454557877.jpg,temp_downloads/2021.09.17.20.40.25_-4.789777333333332_38.26819433333333_41378e8f-462c-4eef-805e-93635614b02c_IMG_20210916_135906_3095855495454557877.jpg,2021.09.17.20.40.25_-4.789777333333332_38.26819433333333_41378e8f-462c-4eef-805e-93635614b02c_IMG_20210916_135906_3095855495454557877.jpg,False,,,False,False,
